player_name_clean,year_ahead,Shooting,Playmaking,Perimeter_Defense,Interior_Defense,Rebounding,Scoring,Efficiency,Impact
bronny james,3,0.0453,0.0372,0.0499,0.193,0.0377,0.0497,0.0077,0.0611
bronny james,4,0.0559,0.0399,0.0456,0.1529,0.03,0.0654,0.0041,0.0446
bronny james,5,0.0406,0.0531,0.0459,0.1506,0.0351,0.0459,0.006,0.0378
brook lopez,1,0.0368,0.0014,0.0351,0.0439,0.0332,0.035,-0.0164,0.0145
brook lopez,2,0.0385,-0.0017,0.0367,0.0507,0.032,0.0363,-0.0184,0.0183
brook lopez,3,0.0359,-0.0012,0.0256,0.0438,0.0367,0.0326,-0.0161,0.0197
brook lopez,4,0.0336,0.0078,0.0249,0.0437,0.0183,0.0315,-0.0174,0.0181
brook lopez,5,0.0339,0.0114,0.0302,0.0438,0.0167,0.0308,-0.0181,0.0177
brooks barnhizer,1,0.0266,0.0191,0.0452,0.136,0.0212,0.0293,0.0248,0.1319
brooks barnhizer,2,0.0268,0.0161,0.0398,0.1371,0.0217,0.0262,0.0178,0.0851
