player_name_clean,year_ahead,attribute,value,percentile
aj green,0,Scoring,48.487915,40.9
aj green,0,Shooting,78.937867,97.6
aj green,1,Efficiency,58.9960873659363,2.6
aj green,1,Impact,65.8163913128662,75.6
aj green,1,Interior_Defense,54.6606081649475,8.8
aj green,1,Perimeter_Defense,59.7257614829102,59.5
aj green,1,Playmaking,47.148819252964,38.7
aj green,1,Rebounding,33.7122999435654,6.2
aj green,1,Scoring,49.5746885147476,42.5
aj green,1,Shooting,74.5378254197998,94.4
aj green,2,Efficiency,61.9365257318726,2.6
aj green,2,Impact,63.4285511372375,64.3
aj green,2,Interior_Defense,56.541523329895,18.6
aj green,2,Perimeter_Defense,61.2368621565857,60.3
aj green,2,Playmaking,48.13117049646,37.3
aj green,2,Rebounding,34.5235980755081,7.8
aj green,2,Scoring,50.1718801465416,43.7
aj green,2,Shooting,70.0453413270874,92.2
aj green,3,Efficiency,61.3863546903839,2.4
aj green,3,Impact,62.6365812180328,56.9
aj green,3,Interior_Defense,58.3721880838089,31.9
aj green,3,Perimeter_Defense,61.8296631552734,58.7
aj green,3,Playmaking,49.1582243294678,35.5
aj green,3,Rebounding,35.1363093858948,9.6
aj green,3,Scoring,51.0925561991119,46.9
aj green,3,Shooting,66.5910290025635,81.6
aj green,4,Efficiency,67.3244913633575,4.8
aj green,4,Impact,62.5235582707214,54.1
aj green,4,Interior_Defense,59.9720175191574,47.9
aj green,4,Perimeter_Defense,61.2707432724991,50.3
aj green,4,Playmaking,50.4310691208801,36.1
aj green,4,Rebounding,35.646875858902,11.8
aj green,4,Scoring,52.4026696291351,49.7
aj green,4,Shooting,65.4604175828857,74.5
aj green,5,Efficiency,68.2747178848496,5.4
aj green,5,Impact,62.6929139969635,54.3
aj green,5,Interior_Defense,60.7475398108177,51.9
aj green,5,Perimeter_Defense,60.2657810904541,45.5
aj green,5,Playmaking,51.2260038704834,35.1
aj green,5,Rebounding,35.7567079222193,12.4
aj green,5,Scoring,53.3327245321655,51.7
aj green,5,Shooting,64.795300795929,70.9
aj johnson,0,Efficiency,69.127225,8.4
aj johnson,0,Impact,51.81209,3.8
aj johnson,0,Interior_Defense,52.896688,5.0
aj johnson,0,Perimeter_Defense,46.809262,3.4
aj johnson,0,Playmaking,53.572893,64.3
aj johnson,0,Rebounding,37.517633,17.4
aj johnson,0,Scoring,43.322403,17.8
aj johnson,0,Shooting,47.985951,16.0
aj johnson,1,Efficiency,69.7585126939774,13.0
aj johnson,1,Impact,54.0663759315872,6.0
aj johnson,1,Interior_Defense,55.1504702723389,13.0
aj johnson,1,Perimeter_Defense,50.0472581013794,9.2
